timestamp,quantity_produced,avg_processing_time,avg_waiting_time,defect_volume,avg_defect_rate
2023-05-25 04:33:31.400000,244,2097,3053,2,0.009803922
2023-05-25 04:33:35.200000,245,2096,3047,2,0.009803922
2023-05-25 04:33:42,246,2095,3053,2,0.009803922
2023-05-25 04:33:46.200000,247,2093,3049,2,0.009803922
2023-05-25 04:33:55.800000,248,2091,3068,2,0.009803922
2023-05-25 04:33:59.600000,249,2090,3062,2,0.009803922
2023-05-25 04:34:03.800000,250,2089,3057,2,0.009803922
2023-05-25 04:34:09.800000,251,2088,3060,2,0.009803922
2023-05-25 04:34:14.400000,252,2087,3058,2,0.009803922
2023-05-25 04:34:18.200000,253,2086,3052,2,0.009803922
2023-05-25 04:34:22.800000,254,2085,3049,3,0.011811024
2023-05-25 04:34:26.800000,255,2083,3044,3,0.011811024
2023-05-25 04:34:34.400000,256,2082,3054,3,0.011811024
2023-05-25 04:34:38.200000,257,2081,3048,3,0.011811024
2023-05-25 04:34:42,258,2080,3042,3,0.011811024
2023-05-25 04:34:46,259,2079,3037,3,0.011811024
2023-05-25 04:34:50.400000,260,2078,3034,3,0.011811024
2023-05-25 04:34:54.200000,261,2076,3030,3,0.011811024
2023-05-25 04:35:01.200000,262,2075,3036,3,0.011811024
2023-05-25 04:35:05,263,2074,3031,3,0.011811024
2023-05-25 04:35:08.800000,264,2073,3025,3,0.011811024
2023-05-25 04:35:12.600000,265,2072,3020,3,0.011811024
2023-05-25 04:35:26.400000,266,2071,3052,3,0.011811024
2023-05-25 04:35:30.200000,267,2070,3047,3,0.011811024
2023-05-25 04:35:34,268,2069,3041,3,0.011811024
2023-05-25 04:35:40.200000,269,2068,3045,3,0.011811024
2023-05-25 04:35:44,270,2067,3040,3,0.011811024
2023-05-25 04:35:50.200000,271,2067,3042,3,0.011811024
2023-05-25 04:35:57,272,2066,3048,3,0.011811024
2023-05-25 04:36:00.800000,273,2065,3043,3,0.011811024
2023-05-25 04:36:05.600000,274,2064,3041,3,0.011811024
2023-05-25 04:36:15.800000,275,2063,3059,3,0.011811024
2023-05-25 04:36:20.200000,276,2062,3056,3,0.011811024
2023-05-25 04:36:23.800000,277,2061,3050,3,0.011811024
2023-05-25 04:36:27.600000,278,2060,3045,3,0.011811024
2023-05-25 04:36:31.200000,279,2059,3039,3,0.011811024
2023-05-25 04:36:35.800000,280,2058,3037,3,0.011811024
2023-05-25 04:36:39.200000,281,2056,3031,3,0.011811024
2023-05-25 04:36:43,282,2056,3026,3,0.011811024
2023-05-25 04:36:47.400000,283,2055,3023,3,0.011811024
2023-05-25 04:36:51.400000,284,2054,3019,3,0.011811024
2023-05-25 04:36:55.600000,285,2053,3015,3,0.011811024
2023-05-25 04:37:01.600000,286,2052,3018,3,0.011811024
2023-05-25 04:37:06,287,2050,3016,3,0.011811024
2023-05-25 04:37:11.800000,288,2050,3018,3,0.011811024
2023-05-25 04:37:16,289,2049,3014,3,0.011811024
2023-05-25 04:37:19.800000,290,2048,3009,3,0.011811024
2023-05-25 04:37:38,291,2060,3041,3,0.011811024
2023-05-25 04:37:45.400000,292,2072,3035,3,0.011811024
2023-05-25 04:37:49,293,2071,3030,3,0.011811024
2023-05-25 04:38:00.600000,294,2097,3025,3,0.011811024
2023-05-25 04:38:04.400000,295,2096,3019,3,0.011811024
2023-05-25 04:38:11.600000,296,2108,3014,3,0.011811024
2023-05-25 04:38:15.400000,297,2107,3009,3,0.011811024
2023-05-25 04:38:22,298,2106,3014,3,0.011811024
2023-05-25 04:38:26.200000,299,2105,3010,3,0.011811024
2023-05-25 04:38:30,300,2104,3006,3,0.011811024
2023-05-25 04:38:35.600000,301,2103,3006,3,0.011811024
2023-05-25 04:38:42.200000,302,2103,3010,3,0.011811024
2023-05-25 04:38:46.400000,303,2102,3006,3,0.011811024
2023-05-25 04:38:52.200000,304,2101,3008,3,0.011811024
2023-05-25 04:38:56.200000,305,2102,3003,3,0.011811024
2023-05-25 04:39:01,306,2101,3001,3,0.011811024
2023-05-25 04:39:08.200000,307,2100,3008,3,0.011811024
2023-05-25 04:39:13.800000,308,2099,3009,3,0.011811024
2023-05-25 04:39:17.600000,309,2098,3005,3,0.011811024
2023-05-25 04:39:21.200000,310,2097,3000,3,0.011811024
2023-05-25 04:39:25.200000,311,2096,2996,3,0.011811024
2023-05-25 04:39:29.200000,312,2095,2992,4,0.012820513
2023-05-25 04:39:37,313,2094,3000,4,0.012820513
2023-05-25 04:39:40.800000,314,2093,2996,4,0.012820513
2023-05-25 04:39:45.200000,315,2092,2993,4,0.012820513
2023-05-25 04:39:49.400000,316,2091,2990,4,0.012820513
2023-05-25 04:39:53.200000,317,2090,2986,4,0.012820513
2023-05-25 04:39:57.200000,318,2089,2982,4,0.012820513
2023-05-25 04:40:01,319,2089,2977,4,0.012820513
2023-05-25 04:40:05.600000,320,2088,2976,4,0.012820513
2023-05-25 04:40:10.200000,321,2087,2974,4,0.012820513
2023-05-25 04:40:19.800000,322,2086,2988,4,0.012820513
